target_type,target_scope,target_year,target
,,,
,,,
Absolute,3,2030.0,Near-term
Absolute,1,2030.0,Near-term
Net-zero,1+2+3,2040.0,Net-zero
Absolute,1+3,2030.0,Near-term
Absolute,1+3,2040.0,Long-term
Absolute,3,2030.0,Near-term
Renewable electricity,2,2030.0,Near-term
Absolute,1,2030.0,Near-term
Absolute,1+2,2040.0,Long-term
Absolute,1+2,2040.0,Long-term
Absolute,1+2,2040.0,Long-term
Net-zero,1+2+3,2040.0,Net-zero
Absolute,1+3,2030.0,Near-term
Absolute,1+3,2040.0,Long-term
Renewable electricity,2,2030.0,Near-term
Absolute,3,2030.0,Near-term
Absolute,3,2030.0,Near-term
Absolute,3,2030.0,Near-term
Absolute,3,2030.0,Near-term
Absolute,3,2040.0,Long-term
Absolute,3,2040.0,Long-term
Absolute,3,2040.0,Long-term
Absolute,1,2030.0,Near-term
Absolute,1,2030.0,Near-term
Absolute,1+2,2040.0,Long-term
Absolute,1+2,2040.0,Long-term
Absolute,3,2040.0,Long-term
Absolute,3,2030.0,Near-term
Absolute,3,2030.0,Near-term
Absolute,1+2,2040.0,Long-term
Absolute,3,2030.0,Near-term
Absolute,3,2030.0,Near-term
Engagement,3,2027.0,Near-term
No-deforestation,1+2+3,2025.0,Near-term
Absolute,1+2,2030.0,Near-term
Absolute,1+2,2030.0,Near-term
Absolute,1+2,2030.0,Near-term
Absolute,1+2,2030.0,Near-term
Net-zero,1+2+3,2050.0,Net-zero
Absolute,3,2030.0,Near-term
Absolute,3,2050.0,Long-term
Absolute,1+2,2050.0,Long-term
Absolute,1+2,2030.0,Near-term
,,,
,,,
Absolute,3,2030.0,Near-term
Absolute,1+2,2030.0,Near-term
,,,
Absolute,1+2,2030.0,Near-term
Renewable electricity,2,2030.0,Near-term
Engagement,3,2027.0,Near-term
,,,
Renewable electricity,2,2030.0,Near-term
Engagement,3,2027.0,Near-term
Engagement,3,2027.0,Near-term
Absolute,1+2,2030.0,Near-term
Intensity,3,2030.0,Near-term
Absolute,1+2,2030.0,Near-term
Net-zero,1+2+3,2050.0,Net-zero
Absolute,1+2,2040.0,Long-term
Absolute,1+2,2030.0,Near-term
Absolute,3,2030.0,Near-term
Absolute,3,2040.0,Long-term
Absolute,1+2,2030.0,Near-term
Absolute,3,2030.0,Near-term
,,,
,,,
Intensity,3,2030.0,Near-term
Absolute,1+2,2030.0,Near-term
,,,
,,,
,,,
Absolute,1+2,2030.0,Near-term
Absolute,3,2030.0,Near-term
Absolute,1+2,2030.0,Near-term
Engagement,3,2025.0,Near-term
Intensity,3,2030.0,Near-term
Intensity,3,2030.0,Near-term
Absolute,1+2,2030.0,Near-term
Intensity,3,2035.0,Near-term
Absolute,1+2,2030.0,Near-term
,,,
,,,
Renewable electricity,2,2030.0,Near-term
Absolute,3,2030.0,Near-term
Absolute,3,2050.0,Long-term
Net-zero,1+2+3,2050.0,Net-zero
Absolute,1+2,2050.0,Long-term
Absolute,1+2,2030.0,Near-term
,,,
,,,
,,,
Absolute,1+2,2030.0,Near-term
Absolute,3,2030.0,Near-term
,,,
Intensity,3,2030.0,Near-term
Intensity,3,2030.0,Near-term
Absolute,1+2,2030.0,Near-term
Engagement,3,2025.0,Near-term
Absolute,1,2030.0,Near-term
Renewable electricity,2,2030.0,Near-term
Renewable electricity,2,2027.0,Near-term
Absolute,3,2030.0,Near-term
Absolute,1+2,2030.0,Near-term
,,,
,,,
Engagement,3,2027.0,Near-term
Absolute,1+2,2030.0,Near-term
Absolute,1+2,2030.0,Near-term
Absolute,3,2030.0,Near-term
,,,
,,,
Intensity,3,2030.0,Near-term
Absolute,1+2,2030.0,Near-term
Engagement,3,2027.0,Near-term
Renewable electricity,2,2030.0,Near-term
Renewable electricity,2,2027.0,Near-term
Absolute,1+2,2027.0,Near-term
,,,
,,,
,,,
Absolute,3,2025.0,Near-term
Absolute,1+2,2025.0,Near-term
Intensity,3,2025.0,Near-term
Absolute,1+2,2030.0,Near-term
Absolute,3,2030.0,Near-term
Engagement,3,2027.0,Near-term
Renewable electricity,2,2030.0,Near-term
Absolute,1+2+3,2030.0,Near-term
,,,
,,,
Absolute,1+2,2030.0,Near-term
Absolute,3,2030.0,Near-term
Absolute,1+2,2030.0,Near-term
Intensity,3,2030.0,Near-term
Absolute,1+2,2030.0,Near-term
Absolute,1+2+3,2050.0,Long-term
Net-zero,1+2+3,2050.0,Net-zero
Intensity,3,2030.0,Near-term
Absolute,1+2,2030.0,Near-term
,,,
Absolute,3,2030.0,Near-term
Absolute,1+2,2030.0,Near-term
Absolute,3,2030.0,Near-term
Engagement,3,2025.0,Near-term
Engagement,3,2025.0,Near-term
Absolute,3,2045.0,Long-term
Absolute,3,2030.0,Near-term
Absolute,3,2030.0,Near-term
Absolute,3,2030.0,Near-term
Net-zero,1+2+3,2045.0,Net-zero
Absolute,1+2,2026.0,Near-term
Absolute,1+2,2030.0,Near-term
Absolute,3,2030.0,Near-term
,,,
,,,
Absolute,1+2,2030.0,Near-term
Absolute,3,2030.0,Near-term
Absolute,1+2,2030.0,Near-term
Engagement,3,2027.0,Near-term
Renewable electricity,2,2030.0,Near-term
Intensity,3,2030.0,Near-term
Absolute,1+2,2030.0,Near-term
Engagement,3,2025.0,Near-term
Engagement,3,2025.0,Near-term
Other,3,2030.0,Near-term
,,,
,,,
,,,
Absolute,1+2+3,2031.0,Near-term
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Absolute,1+2,2029.0,Near-term
Absolute,3,2029.0,Near-term
,,,
,,,
,,,
Absolute,1+2,2030.0,Near-term
Absolute,3,2030.0,Near-term
Absolute,1+2,2030.0,Near-term
Absolute,3,2030.0,Near-term
Absolute,1+2,2030.0,Near-term
,,,
,,,
Absolute,3,2030.0,Near-term
Absolute,1+2,2030.0,Near-term
Absolute,1+2,2030.0,Near-term
,,,
,,,
Intensity,3,2030.0,Near-term
Intensity,1+2,2030.0,Near-term
Intensity,3,2030.0,Near-term
Absolute,3,2030.0,Near-term
Absolute,1+2,2030.0,Near-term
Absolute,1+2,2030.0,Near-term
Intensity,3,2030.0,Near-term
Absolute,1+2+3,2025.0,Near-term
,,,
,,,
